date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
112112	08:09:32	10009	Language	Language	0	English	772161	0	0	08:09:32	772291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	Session	Session	0	6mo	1225	0	0	08:09:32	773583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	HandEng	HandEng	0	Right	1103	0	0	08:09:32	774756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	CubeEng	CubeEng	1	1Cube	20853	0	0	08:09:32	979113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	1900	1	0	08:09:32	993427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	307	0	0	08:09:32	993760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	2200	1	0	08:09:32	995973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	338	0	0	08:09:32	996333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	2000	1	0	08:09:32	998345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	317	0	0	08:09:32	998692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	1500	1	0	08:09:32	1000211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	355	0	0	08:09:32	1000584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	2100	1	0	08:09:32	1002703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	279	0	0	08:09:32	1003010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	1800	1	0	08:09:32	1004822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	352	0	0	08:09:32	1005196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	1600	1	0	08:09:32	1006808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	366	0	0	08:09:32	1007195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	2300	1	0	08:09:32	1009514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	316	0	0	08:09:32	1009847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	1700	1	0	08:09:32	1011566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	376	0	0	08:09:32	1011966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	2400	1	0	08:09:32	1014379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	395	0	0	08:09:32	1014792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	2500	1	0	08:09:32	1017311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	278	0	0	08:09:32	1017617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	2500	1	0	08:09:32	1020136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	349	0	0	08:09:32	1020509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	blank.simpleEng	2	0	2100	1	0	08:09:32	1022669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112112	08:09:32	10009	pm.simpleEngRight	pm.simpleEng	2	57	361	0	0	08:09:32	1023055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
